originalFilename,newFilename
.6.086 - 22-02..pdf,.6.086---22-02..pdf
.Regulation Packet Chapter 2 - 205.2 - signed..pdf,.Regulation-Packet-Chapter-2---205.2---signed..pdf
10.09-20-05.pdf,10.09-20-05.pdf
10day Effective RevenueReg UPDATED REG1-13-20.pdf,10day-Effective-RevenueReg-UPDATED-REG1-13-20.pdf
11.02 - 11.08 HR Regulation 4-12-22.pdf,11.02---11.08-HR-Regulation-4-12-22.pdf
11.02 - 11.08_HR Regulation 4-12-22.pdf,11.02---11.08_HR-Regulation-4-12-22.pdf
11.02-- 11.08 HR Regulation 4-12-22.pdf,11.02---11.08-HR-Regulation-4-12-22.pdf
11.02_ 11.08 HR Regulation 4-12-22.pdf,11.02_-11.08-HR-Regulation-4-12-22.pdf
11.10 HR Regulation 4-12-22.pdf,11.10-HR-Regulation-4-12-22.pdf
11.17 22-04.pdf,11.17-22-04.pdf
11.17.pdf,11.17.pdf
11.17_23-05.pdf,11.17_23-05.pdf
12-13-2022_Blackline of section Amendment.pdf,12-13-2022_Blackline-of-section-Amendment.pdf
12.02-draft-19-12.pdf,12.02-draft-19-12.pdf
03162020142718-0001.pdf,03162020142718-0001.pdf
03_18_2021 Memorandum to Records Department_ Board of Ethics Regulation 3.pdf,03_18_2021-Memorandum-to-Records-Department_-Board-of-Ethics-Regulation-3.pdf
10.08 HR Regulation 4-12-22.pdf,10.08-HR-Regulation-4-12-22.pdf
13th emergency BOH reg re Outdoor Activities - Approval Memo 2020.10.14.pdf,13th-emergency-BOH-reg-re-Outdoor-Activities---Approval-Memo-2020.10.14.pdf
14.0414 -draft-21-06.pdf,14.0414--draft-21-06.pdf
14th emergency BOH reg re LTCF Recission - Approval Memo 2020.10.14.pdf,14th-emergency-BOH-reg-re-LTCF-Recission---Approval-Memo-2020.10.14.pdf
15.044-22-12.pdf,15.044-22-12.pdf
15th emergency BOH reg re Indoor Dining - Approval Memo 2020.10.14.pdf,15th-emergency-BOH-reg-re-Indoor-Dining---Approval-Memo-2020.10.14.pdf
17-111. Energy Efficiency and Enviro Design_Regulation 09-07-2022.pdf,17-111.-Energy-Efficiency-and-Enviro-Design_Regulation-09-07-2022.pdf
17-1400 Report and Regulations.pdf,17-1400-Report-and-Regulations.pdf
17.061- 06.21.pdf,17.061--06.21.pdf
17.061-draft-20-07.pdf,17.061-draft-20-07.pdf
17.072-06.21.pdf,17.072-06.21.pdf
18th Emergency Reg Approval Memo 2020.11.24.pdf,18th-Emergency-Reg-Approval-Memo-2020.11.24.pdf
